,T1,T2,T3
32,"[0, 163, 0, 0, 271, 10.94, -72.32, 35.28]","[0, 210, 0, 342, 507, 8.13, -79.53, 35.28]","[0, 90, 0, 153, 411, 24.0, -63.4, 35.28]"
33,"[0, 168, 0, 0, 0, 0.85, -85.42, -35.28]","[0, 214, 0, 0, 311, 0.81, -88.17, -35.28]","[0, 164, 0, 0, 236, 16.41, -73.06, 35.28]"
34,"[0, 165, 0, 0, 0, 4.62, -85.12, 35.28]","[0, 220, 0, 0, 197, -3.8, -82.5, -35.28]","[0, 284, 0, 0, 0, 9.26, -80.45, -35.28]"
35,"[0, 167, 0, 0, 0, -2.04, -84.1, -35.28]","[0, 225, 0, 0, 0, -2.92, -79.02, -35.28]","[0, 171, 0, 0, 0, 0.08, -87.92, -35.28]"
36,"[0, 265, 0, 0, 0, -4.3, -83.07, -35.28]","[0, 230, 0, 0, 0, -7.65, -75.81, -35.28]","[0, 211, 0, 0, 0, -2.11, -84.6, -35.28]"
37,"[0, 277, 0, 0, 0, -5.58, -84.34, -35.28]","[0, 163, 0, 0, 0, -8.04, -81.95, 35.28]","[0, 176, 0, 0, 0, -2.82, -86.01, -35.28]"
38,"[0, 169, 0, 0, 0, -9.3, -79.21, -35.28]","[0, 167, 0, 0, 0, -7.76, -72.9, -35.28]","[0, 182, 0, 0, 188, -7.0, -80.8, -35.28]"
39,"[0, 168, 0, 0, 0, -12.74, -76.04, -35.28]","[0, 165, 0, 0, 0, -9.52, -78.66, -35.28]","[0, 198, 0, 0, 0, -3.23, -81.49, -35.28]"
40,"[0, 167, 0, 0, 0, -16.65, -72.09, -35.28]","[0, 163, 0, 0, 0, -11.93, -77.1, -35.28]","[0, 196, 0, 0, 0, -8.46, -80.65, -35.28]"
41,"[0, 159, 0, 0, 0, -15.27, -72.39, -35.28]","[0, 134, 0, 0, 0, -12.74, -76.35, -35.28]","[0, 197, 0, 0, 0, -9.82, -78.74, -35.28]"
42,"[0, 159, 0, 0, 0, -15.03, -73.8, -35.28]","[0, 155, 0, 0, 0, -9.47, -78.53, -35.28]","[0, 196, 0, 0, 0, -9.38, -79.91, -35.28]"
43,"[0, 129, 0, 0, 0, -14.53, -73.91, -35.28]","[0, 162, 0, 0, 0, -10.85, -78.46, -35.28]","[0, 213, 0, 1, 0, -7.59, -82.0, -35.28]"
44,"[0, 121, 0, 0, 0, -13.94, -74.24, -35.28]","[0, 131, 0, 0, 0, -11.53, -77.63, -35.28]","[0, 205, 0, 0, 0, -7.88, -81.35, -35.28]"
45,"[0, 129, 0, 0, 0, -14.46, -73.75, -35.28]","[0, 136, 0, 0, 0, -11.24, -78.14, -35.28]","[0, 199, 0, 0, 0, -9.64, -80.05, -35.28]"
46,"[0, 147, 0, 0, 0, -14.16, -74.55, -35.28]","[0, 157, 0, 0, 0, -10.88, -78.38, -35.28]","[0, 198, 0, 0, 0, -8.34, -81.2, -35.28]"
47,"[0, 144, 0, 0, 0, -11.8, -75.69, -35.28]","[0, 156, 0, 0, 0, -10.74, -78.85, -35.28]","[0, 186, 0, 0, 0, -8.97, -80.65, -35.28]"
48,"[0, 137, 0, 0, 0, -13.0, -75.36, -35.28]","[0, 164, 0, 0, 0, -10.46, -77.74, -35.28]","[0, 185, 0, 0, 0, -9.49, -80.17, -35.28]"
49,"[0, 155, 0, 0, 0, -14.06, -74.64, -35.28]","[0, 174, 0, 0, 0, -10.55, -79.16, -35.28]","[0, 187, 0, 0, 0, -11.72, -77.82, -35.28]"
