,T1,T2,T3
32,"[0, 234, 2, 581, 622, -0.79, -88.39, 35.28]","[0, 0, 0, 673, 654, 9.14, -50.97, 35.28]","[0, 0, 0, 0, 288, -9.17, -76.55, -35.28]"
33,"[0, 302, 154, 501, 606, -0.89, -77.54, -35.28]","[0, 0, 0, 628, 655, -9.9, -33.81, 35.28]","[0, 0, 0, 0, 0, -10.1, -67.08, -35.28]"
34,"[0, 69, 2, 155, 503, 4.37, -60.86, -35.28]","[0, 0, 0, 155, 562, -12.24, -77.8, 35.28]","[0, 0, 0, 0, 0, -10.66, -78.61, -35.28]"
35,"[0, 0, 0, 0, 212, -5.78, -58.62, -35.28]","[0, 0, 0, 0, 362, -15.37, -71.32, -35.28]","[0, 0, 0, 0, 0, -14.58, -73.03, -35.28]"
36,"[0, 0, 0, 1, 297, -9.08, -68.44, -35.28]","[0, 0, 0, 0, 0, -12.39, -67.89, -35.28]","[0, 1, 0, 0, 0, -7.61, -81.14, -35.28]"
37,"[0, 0, 0, 0, 70, -11.24, -77.23, -35.28]","[0, 1, 0, 0, 0, -13.29, -72.48, -35.28]","[0, 0, 0, 0, 0, -9.2, -80.84, -35.28]"
38,"[0, 0, 0, 0, 0, -15.03, -72.61, -35.28]","[0, 0, 0, 0, 0, -18.28, -71.65, -35.28]","[0, 0, 0, 0, 0, -13.63, -76.33, 35.28]"
39,"[0, 0, 0, 0, 0, -15.87, -70.42, -35.28]","[0, 0, 0, 0, 0, -17.65, -70.27, -35.28]","[0, 0, 0, 0, 0, -11.09, -78.94, -35.28]"
40,"[0, 0, 0, 0, 0, -15.16, -74.65, -35.28]","[0, 0, 0, 65, 0, -14.67, -73.59, -35.28]","[0, 0, 0, 0, 1, -10.24, -79.72, -35.28]"
41,"[0, 0, 0, 0, 0, -12.8, -77.18, -35.28]","[0, 0, 0, 72, 0, -16.69, -73.26, -35.28]","[0, 0, 0, 0, 0, -12.21, -77.81, 35.28]"
42,"[0, 0, 0, 0, 0, -13.79, -76.15, 35.28]","[0, 0, 0, 67, 0, -13.34, -76.56, 35.28]","[0, 0, 0, 0, 0, -11.24, -78.8, -35.28]"
43,"[0, 0, 0, 0, 0, -17.79, -72.25, 35.28]","[0, 0, 0, 0, 0, -11.31, -78.37, -35.28]","[0, 0, 0, 0, 0, -11.4, -78.63, 35.28]"
44,"[0, 0, 0, 0, 0, -17.68, -72.05, 35.28]","[0, 0, 0, 0, 0, -11.77, -78.2, -35.28]","[0, 0, 0, 0, 0, -11.69, -78.33, -35.28]"
45,"[0, 0, 0, 0, 0, -17.75, -72.26, 35.28]","[0, 0, 0, 0, 0, -14.16, -75.82, 35.28]","[0, 0, 0, 0, 0, -11.89, -78.15, -35.28]"
46,"[0, 0, 1, 0, 0, -15.2, -74.85, -35.28]","[0, 0, 1, 0, 0, -13.87, -76.16, 35.28]","[0, 0, 0, 1, 0, -12.06, -77.96, -35.28]"
47,"[0, 0, 0, 0, 0, -16.24, -73.52, 35.28]","[0, 0, 0, 0, 0, -13.75, -76.29, 35.28]","[0, 0, 0, 0, 0, -12.33, -77.71, 35.28]"
48,"[0, 0, 0, 0, 0, -17.08, -72.87, 35.28]","[0, 0, 0, 0, 0, -14.25, -75.77, 35.28]","[0, 0, 0, 0, 0, -11.88, -78.16, -35.28]"
49,"[0, 0, 0, 0, 0, -17.22, -72.75, 35.28]","[0, 0, 0, 0, 0, -14.5, -75.47, 35.28]","[0, 0, 0, 0, 0, -11.79, -78.25, 35.28]"
