,T1,T2,T3
32,"[0, 0, 0, 650, 0, 64.56, 15.57, -35.28]","[0, 497, 0, 253, 560, 1.03, -84.84, 35.28]","[0, 144, 0, 564, 621, 20.72, -56.7, 35.28]"
33,"[0, 0, 0, 647, 0, 50.41, 13.68, -35.28]","[0, 423, 0, 197, 505, 1.03, -82.01, -35.28]","[0, 212, 0, 390, 568, 10.71, -66.72, 35.28]"
34,"[0, 2, 0, 622, 0, 36.3, 1.96, 35.28]","[0, 377, 0, 24, 501, 3.98, -71.23, -35.28]","[0, 270, 0, 166, 480, 10.78, -74.3, 35.28]"
35,"[0, 221, 0, 437, 500, -4.05, -79.32, 35.28]","[0, 252, 0, 0, 497, 2.07, -84.05, 35.28]","[0, 292, 0, 0, 412, 9.05, -79.74, 35.28]"
36,"[0, 310, 0, 1, 444, -2.06, -79.41, -35.28]","[0, 170, 0, 0, 496, -9.39, -80.39, -35.28]","[0, 267, 0, 0, 100, 4.76, -85.28, -35.28]"
37,"[0, 391, 0, 0, 169, -2.68, -77.17, -35.28]","[0, 154, 0, 0, 505, -7.34, -82.63, -35.28]","[0, 242, 0, 0, 0, -2.07, -78.75, -35.28]"
38,"[0, 322, 0, 0, 0, 0.7, -80.43, -35.28]","[0, 150, 1, 0, 475, -6.36, -83.69, -35.28]","[0, 103, 0, 0, 0, 0.23, -79.33, -35.28]"
39,"[0, 296, 0, 0, 0, 2.94, -84.0, -35.28]","[0, 150, 0, 0, 495, -8.93, -81.05, 35.28]","[0, 23, 0, 0, 0, -2.31, -81.55, 35.28]"
40,"[0, 286, 0, 0, 1, -4.91, -73.4, -35.28]","[0, 161, 0, 0, 497, -9.44, -80.56, 35.28]","[0, 0, 0, 0, 0, -8.99, -80.51, -35.28]"
41,"[0, 188, 0, 0, 0, -4.69, -85.18, -35.28]","[0, 156, 0, 0, 494, -9.44, -80.57, 35.28]","[0, 0, 0, 0, 0, -4.7, -85.11, 35.28]"
42,"[0, 0, 0, 0, 0, -9.36, -78.82, -35.28]","[0, 148, 0, 0, 494, -8.74, -80.83, 35.28]","[0, 0, 0, 0, 0, -3.5, -86.22, 35.28]"
43,"[0, 0, 0, 0, 0, -9.02, -80.83, -35.28]","[0, 145, 0, 0, 490, -8.01, -81.49, 35.28]","[0, 0, 0, 0, 0, -6.26, -81.3, 35.28]"
44,"[0, 0, 0, 0, 0, -10.56, -79.48, 35.28]","[0, 156, 0, 0, 483, -9.82, -79.94, 35.28]","[0, 0, 0, 0, 0, -6.44, -80.94, 35.28]"
45,"[0, 0, 0, 0, 0, -12.32, -77.67, 35.28]","[0, 160, 0, 0, 484, -9.32, -80.63, 35.28]","[0, 0, 0, 0, 0, -6.57, -81.92, 35.28]"
46,"[0, 3, 0, 0, 0, -11.9, -77.69, 35.28]","[0, 142, 0, 0, 479, -9.53, -80.47, 35.28]","[0, 0, 0, 0, 0, -6.45, -81.37, 35.28]"
47,"[0, 8, 0, 0, 0, -11.39, -78.41, 35.28]","[0, 154, 1, 0, 484, -8.06, -81.35, 35.28]","[0, 0, 0, 0, 0, -7.3, -80.85, 35.28]"
48,"[0, 25, 0, 0, 0, -11.58, -78.46, 35.28]","[0, 149, 3, 0, 474, -8.4, -81.52, 35.28]","[0, 0, 0, 0, 0, -6.89, -81.12, 35.28]"
49,"[0, 60, 0, 0, 0, -11.36, -78.28, 35.28]","[0, 149, 0, 0, 456, -9.04, -80.83, 35.28]","[0, 0, 0, 0, 0, -6.77, -80.73, 35.28]"
