,T1,T2,T3
32,"[0, 0, 2, 624, 644, 65.44, 15.63, -35.28]","[0, 0, 0, 648, 620, 4.5, -4.77, -35.28]","[0, 0, 0, 679, 651, 76.1, 10.91, -35.28]"
33,"[0, 0, 3, 606, 632, 70.98, -18.78, -35.28]","[0, 0, 0, 647, 601, 26.54, 1.79, -35.28]","[0, 0, 0, 679, 648, 71.78, 17.62, -35.28]"
34,"[0, 1, 0, 661, 637, 39.58, -50.32, 35.28]","[0, 0, 0, 647, 585, 54.38, 9.49, -35.28]","[0, 0, 0, 674, 644, 50.46, 34.52, 35.28]"
35,"[0, 0, 0, 661, 647, 31.47, -22.87, -35.28]","[0, 0, 0, 643, 598, 69.47, 9.94, -35.28]","[0, 0, 0, 660, 608, 30.41, -53.56, 35.28]"
36,"[0, 0, 0, 662, 650, 7.05, -2.74, -35.28]","[0, 0, 4, 627, 565, 71.13, 6.61, -35.28]","[0, 0, 0, 625, 466, 76.82, -12.93, -35.28]"
37,"[0, 0, 0, 663, 650, 9.24, 14.21, -35.28]","[0, 1, 0, 567, 581, 71.66, 17.87, -35.28]","[0, 0, 0, 547, 538, 17.66, -70.27, -35.28]"
38,"[0, 0, 0, 664, 650, 13.22, 6.56, -35.28]","[0, 0, 0, 395, 497, 58.1, -29.82, -35.28]","[0, 0, 0, 269, 419, 19.13, -63.88, -35.28]"
39,"[0, 0, 0, 667, 647, 30.69, 1.75, -35.28]","[0, 0, 0, 0, 0, 37.25, -52.8, -35.28]","[0, 0, 0, 0, 0, 14.87, -69.05, -35.28]"
40,"[0, 0, 0, 668, 646, 49.49, 12.94, -35.28]","[0, 0, 0, 0, 0, 20.51, -55.39, -35.28]","[0, 0, 2, 0, 0, 15.29, -72.37, -35.28]"
41,"[0, 0, 0, 668, 644, 49.88, 19.05, -35.28]","[0, 0, 0, 0, 0, 6.87, -64.0, -35.28]","[0, 0, 0, 0, 0, 12.98, -75.43, -35.28]"
42,"[0, 0, 0, 663, 608, 51.8, 22.18, -35.28]","[0, 0, 0, 0, 205, 5.15, -78.87, -35.28]","[0, 0, 0, 0, 0, 0.31, -74.11, -35.28]"
43,"[0, 0, 0, 641, 593, 57.9, 14.14, -35.28]","[0, 1, 1, 0, 222, -2.41, -64.2, -35.28]","[0, 0, 0, 0, 0, -11.89, -64.17, -35.28]"
44,"[0, 0, 2, 599, 583, 67.19, 6.65, -35.28]","[0, 0, 0, 0, 212, -3.67, -72.72, -35.28]","[0, 0, 0, 0, 0, -9.88, -75.42, -35.28]"
45,"[0, 0, 0, 513, 494, 49.49, -40.08, -35.28]","[0, 0, 0, 0, 208, -7.4, -79.38, -35.28]","[0, 0, 0, 0, 0, -4.75, -81.65, -35.28]"
46,"[0, 0, 2, 152, 176, 22.48, -65.99, -35.28]","[0, 0, 0, 0, 197, -7.83, -80.66, -35.28]","[0, 0, 0, 1, 0, -10.94, -77.2, -35.28]"
47,"[0, 0, 1, 2, 0, -7.56, -54.19, -35.28]","[0, 0, 0, 0, 0, -8.11, -81.94, -35.28]","[0, 0, 0, 0, 0, -9.44, -78.67, -35.28]"
48,"[0, 0, 0, 0, 216, -4.95, -67.56, -35.28]","[0, 0, 0, 0, 0, -7.38, -82.66, -35.28]","[0, 0, 0, 0, 0, -13.95, -76.03, -35.28]"
49,"[0, 0, 0, 55, 241, -12.36, -61.36, -35.28]","[0, 57, 0, 0, 0, -10.78, -78.22, 35.28]","[0, 0, 0, 0, 0, -15.42, -74.45, -35.28]"
