,T1,T2,T3
32,"[0, 260, 0, 366, 540, -7.45, -72.08, -35.28]","[0, 0, 0, 681, 669, 57.71, 32.12, 35.28]","[0, 0, 0, 685, 667, 58.46, 31.44, -35.28]"
33,"[0, 11, 0, 0, 328, -7.11, -69.36, -35.28]","[0, 0, 0, 678, 666, 75.57, -12.97, -35.28]","[0, 0, 0, 682, 668, 64.06, 24.86, 35.28]"
34,"[0, 99, 0, 0, 0, -10.43, -76.28, -35.28]","[0, 0, 0, 668, 666, 80.17, 5.79, -35.28]","[0, 0, 0, 674, 663, 77.52, -10.56, 35.28]"
35,"[0, 118, 1, 51, 0, -8.1, -77.83, -35.28]","[0, 0, 0, 657, 667, 9.08, -73.24, -35.28]","[0, 155, 587, 626, 643, 64.23, -22.61, -35.28]"
36,"[0, 105, 0, 70, 0, -9.17, -79.82, -35.28]","[0, 0, 0, 649, 667, 24.8, -65.24, 35.28]","[0, 389, 0, 393, 583, 35.13, -52.75, -35.28]"
37,"[0, 0, 0, 79, 0, -8.13, -81.83, -35.28]","[0, 0, 0, 603, 659, 16.2, -73.69, 35.28]","[0, 409, 0, 0, 470, 27.49, -50.59, -35.28]"
38,"[0, 0, 0, 75, 0, -7.9, -81.79, 35.28]","[0, 422, 0, 354, 617, 15.09, -73.29, -35.28]","[0, 472, 0, 0, 279, 17.88, -68.77, -35.28]"
39,"[0, 0, 0, 0, 0, -10.35, -69.62, -35.28]","[0, 0, 0, 0, 472, -0.02, -71.88, -35.28]","[0, 386, 0, 0, 0, 8.88, -73.2, -35.28]"
40,"[0, 0, 0, 0, 0, -9.09, -80.25, 35.28]","[0, 466, 0, 0, 217, -3.69, -74.36, -35.28]","[0, 346, 0, 0, 0, 3.68, -80.68, -35.28]"
41,"[0, 0, 0, 0, 0, -9.83, -80.21, -35.28]","[0, 347, 0, 0, 0, -7.6, -77.52, -35.28]","[0, 326, 0, 0, 0, -2.03, -76.82, -35.28]"
42,"[0, 0, 0, 0, 0, -10.73, -79.3, -35.28]","[0, 195, 0, 50, 0, -11.11, -72.43, -35.28]","[0, 323, 0, 0, 0, -5.25, -72.51, -35.28]"
43,"[0, 0, 0, 2, 0, -10.83, -79.21, 35.28]","[0, 324, 0, 60, 0, -8.73, -76.08, -35.28]","[0, 318, 0, 0, 0, -8.62, -73.22, -35.28]"
44,"[0, 0, 0, 0, 0, -11.49, -78.5, 35.28]","[0, 326, 0, 75, 0, -10.24, -74.75, -35.28]","[0, 292, 0, 0, 0, -11.56, -67.66, -35.28]"
45,"[0, 0, 0, 0, 0, -11.18, -78.85, 35.28]","[0, 323, 0, 65, 0, -10.88, -73.34, -35.28]","[0, 284, 0, 0, 0, -11.31, -76.82, -35.28]"
46,"[0, 0, 0, 1, 0, -12.36, -77.6, 35.28]","[0, 135, 0, 0, 0, -12.87, -74.76, -35.28]","[0, 276, 0, 0, 0, -15.86, -74.15, -35.28]"
47,"[0, 0, 0, 0, 0, -11.97, -78.03, 35.28]","[0, 136, 0, 0, 0, -11.17, -78.81, -35.28]","[0, 327, 0, 0, 0, -16.34, -71.6, -35.28]"
48,"[0, 0, 0, 0, 0, -12.04, -77.89, 35.28]","[0, 126, 0, 0, 0, -10.98, -79.03, -35.28]","[0, 306, 0, 0, 0, -14.98, -74.52, -35.28]"
49,"[0, 0, 0, 0, 0, -12.48, -77.54, 35.28]","[0, 130, 0, 0, 0, -12.01, -77.74, -35.28]","[0, 303, 0, 0, 0, -11.21, -75.92, -35.28]"
