,T1,T2,T3
32,"[0, 567, 0, 676, 662, -40.73, -49.05, -35.28]","[0, 578, 0, 680, 657, -41.97, -34.66, 35.28]","[0, 615, 0, 649, 644, -23.69, -3.7, 35.28]"
33,"[0, 589, 0, 672, 655, -37.66, -51.15, 35.28]","[0, 572, 6, 681, 648, -44.15, -45.26, -35.28]","[0, 619, 0, 653, 611, -31.29, -44.77, -35.28]"
34,"[0, 595, 0, 672, 655, -28.81, -44.85, 35.28]","[0, 578, 0, 679, 650, -39.86, -44.17, 35.28]","[0, 617, 0, 650, 611, -29.71, -49.58, -35.28]"
35,"[0, 600, 0, 672, 637, -60.05, -29.1, 35.28]","[0, 580, 0, 675, 651, -46.46, -43.06, 35.28]","[0, 608, 0, 662, 614, -36.64, -47.26, -35.28]"
36,"[0, 604, 0, 672, 616, -61.18, -22.16, 35.28]","[0, 595, 0, 675, 654, -40.54, -44.12, 35.28]","[0, 571, 0, 644, 600, -45.49, -16.17, -35.28]"
37,"[0, 605, 0, 673, 619, -52.59, -36.01, -35.28]","[0, 608, 0, 675, 646, -43.38, -39.84, 35.28]","[0, 454, 0, 562, 552, -36.76, -52.34, -35.28]"
38,"[0, 608, 0, 671, 629, -53.59, -34.18, -35.28]","[0, 615, 0, 676, 646, -58.02, -25.49, 35.28]","[0, 334, 0, 359, 496, -5.86, -61.96, 35.28]"
39,"[0, 600, 0, 667, 629, -59.93, -22.97, -35.28]","[0, 615, 0, 678, 658, -64.94, -25.01, -35.28]","[0, 358, 0, 0, 372, 6.36, -53.25, 35.28]"
40,"[0, 552, 0, 662, 638, -35.12, -53.78, -35.28]","[0, 611, 0, 678, 657, -38.37, -43.62, 35.28]","[0, 322, 0, 0, 0, 25.5, -36.97, 35.28]"
41,"[0, 419, 0, 627, 614, -14.21, -60.74, 35.28]","[0, 607, 0, 677, 654, -35.84, -48.13, 35.28]","[0, 245, 0, 0, 0, 7.77, -81.91, -35.28]"
42,"[0, 299, 0, 486, 577, 4.85, -64.25, 35.28]","[0, 617, 0, 677, 651, -31.11, -52.79, 35.28]","[0, 224, 0, 0, 0, -4.97, -44.34, -35.28]"
43,"[0, 285, 0, 0, 473, 11.93, -65.16, 35.28]","[0, 626, 0, 677, 658, -29.21, -47.35, 35.28]","[0, 47, 0, 0, 0, -19.43, -52.62, -35.28]"
44,"[0, 278, 0, 0, 226, -2.54, -84.14, -35.28]","[0, 627, 0, 676, 656, -42.04, -47.99, 35.28]","[0, 187, 0, 0, 0, -30.15, -59.07, -35.28]"
45,"[0, 66, 0, 0, 0, -1.32, -73.18, -35.28]","[0, 604, 0, 663, 636, -57.9, -32.14, -35.28]","[0, 209, 0, 0, 0, -23.06, -62.42, -35.28]"
46,"[0, 69, 3, 0, 0, -6.92, -67.01, -35.28]","[0, 549, 0, 631, 613, -43.01, -45.85, 35.28]","[0, 188, 0, 0, 0, -16.45, -70.47, -35.28]"
47,"[0, 232, 2, 0, 0, -11.78, -65.29, -35.28]","[0, 320, 0, 494, 574, -33.61, -56.34, 35.28]","[0, 197, 2, 0, 0, -13.44, -72.16, -35.28]"
48,"[0, 193, 0, 0, 0, -5.72, -58.87, -35.28]","[0, 335, 0, 0, 504, -23.88, -62.96, 35.28]","[0, 214, 0, 0, 0, -15.09, -72.21, -35.28]"
49,"[0, 61, 0, 0, 0, 8.64, -80.69, -35.28]","[0, 300, 0, 1, 249, 8.85, -80.13, 35.28]","[0, 211, 0, 0, 0, -16.3, -73.7, -35.28]"
