THUMB,INDEX,MIDDLE,HEART,PINKY,ACCELERATION,LETTER
0,0,0,1,0,7692,A
0,0,0,0,0,7904,A
0,0,0,0,0,7760,A
0,0,0,0,0,7800,A
0,0,0,0,0,7816,A
