THUMB,INDEX,MIDDLE,HEART,PINKY,X,Y,LETTER
307.0,515.0,647.0,673.0,640.0,78.06,2.89,E
361.0,592.0,647.0,676.0,632.0,69.95,2.85,E
344.0,554.0,0.0,665.0,612.0,63.77,1.28,E
0.0,294.0,537.0,631.0,397.0,67.46,1.58,E
91.0,238.0,0.0,606.0,0.0,60.22,-2.7,E
0.0,0.0,388.0,0.0,0.0,68.64,-3.01,E
284.0,478.0,637.0,672.0,624.0,72.94,1.7,E
269.0,0.0,599.0,574.0,0.0,58.56,-4.62,E
195.0,31.0,322.0,0.0,0.0,61.21,-7.58,E
0.0,395.0,313.0,192.0,63.0,60.0,-6.87,E
0.0,257.0,383.0,522.0,0.0,53.01,-14.25,E
1.0,0.0,561.0,370.0,0.0,58.6,-6.9,E
174.0,176.0,247.0,369.0,0.0,54.25,-13.63,E
286.0,172.0,5.0,667.0,440.0,74.55,-4.13,E
202.0,455.0,638.0,667.0,629.0,72.45,-1.93,E
306.0,408.0,631.0,653.0,559.0,66.47,-7.04,E
269.0,471.0,630.0,663.0,609.0,71.03,-7.37,E
221.0,461.0,635.0,663.0,605.0,71.55,-2.08,E
0.0,510.0,619.0,666.0,619.0,75.51,-2.73,E
336.0,641.0,0.0,668.0,611.0,68.38,-5.14,E
218.0,523.0,641.0,667.0,612.0,68.97,-5.37,E
193.0,564.0,640.0,666.0,610.0,69.4,-5.73,E
222.0,606.0,641.0,662.0,612.0,66.77,-6.42,E
202.0,280.0,0.0,627.0,187.0,63.2,-8.97,E
171.0,0.0,520.0,0.0,0.0,64.21,-12.28,E
0.0,414.0,620.0,655.0,585.0,60.13,-10.65,E
308.0,650.0,640.0,662.0,636.0,62.85,-5.93,E
0.0,626.0,625.0,654.0,609.0,67.25,-10.87,E
316.0,544.0,628.0,665.0,609.0,64.31,-3.79,E
141.0,0.0,2.0,225.0,0.0,59.03,-10.42,E
212.0,0.0,635.0,661.0,580.0,64.11,-8.49,E
0.0,38.0,397.0,170.0,1.0,60.67,-18.45,E
70.0,588.0,626.0,647.0,591.0,67.76,-4.53,E
211.0,548.0,622.0,670.0,627.0,68.73,-2.45,E
29.0,536.0,617.0,664.0,616.0,64.74,-5.77,E
210.0,563.0,621.0,668.0,623.0,64.24,-7.3,E
214.0,602.0,623.0,655.0,624.0,67.86,-3.72,E
220.0,608.0,597.0,656.0,609.0,69.68,-4.25,E
136.0,429.0,576.0,651.0,598.0,65.15,-6.2,E
220.0,653.0,587.0,649.0,601.0,64.66,-13.09,E
195.0,636.0,559.0,651.0,603.0,63.16,-14.33,E
222.0,618.0,636.0,655.0,615.0,67.4,-6.48,E
45.0,591.0,611.0,644.0,602.0,67.84,-8.7,E
0.0,372.0,537.0,616.0,598.0,65.5,-9.75,E
0.0,144.0,564.0,615.0,592.0,63.57,-11.72,E
213.0,529.0,617.0,628.0,608.0,61.17,-11.37,E
169.0,369.0,522.0,598.0,552.0,60.06,-12.49,E
162.0,397.0,575.0,606.0,577.0,61.21,-13.58,E
119.0,591.0,622.0,656.0,634.0,69.59,-5.59,E
102.0,588.0,635.0,663.0,655.0,74.41,-6.89,E
0.0,389.0,625.0,666.0,653.0,74.55,-8.2,E
0.0,587.0,617.0,668.0,650.0,76.79,-7.71,E
103.0,412.0,615.0,660.0,617.0,69.36,-10.75,E
1.0,492.0,595.0,639.0,626.0,66.21,-11.9,E
0.0,366.0,621.0,666.0,648.0,72.88,-10.01,E
0.0,611.0,639.0,670.0,655.0,73.58,-13.09,E
0.0,522.0,626.0,663.0,641.0,71.25,-14.94,E
171.0,504.0,604.0,634.0,577.0,69.64,-15.62,E
0.0,506.0,633.0,664.0,640.0,68.54,-12.48,E
72.0,486.0,610.0,659.0,645.0,69.32,-13.04,E
47.0,587.0,608.0,656.0,637.0,67.32,-11.68,E
0.0,523.0,627.0,650.0,639.0,70.33,-9.54,E
0.0,526.0,624.0,646.0,642.0,71.02,-9.06,E
0.0,523.0,628.0,660.0,650.0,72.79,-7.66,E
0.0,524.0,647.0,656.0,648.0,72.73,-7.55,E
0.0,467.0,630.0,665.0,660.0,77.41,-6.8,E
0.0,497.0,633.0,659.0,651.0,76.85,-10.19,E
0.0,449.0,628.0,661.0,649.0,73.18,-10.49,E
0.0,431.0,617.0,666.0,647.0,68.17,-12.95,E
154.0,468.0,622.0,662.0,642.0,68.33,-12.16,E
88.0,615.0,635.0,661.0,643.0,69.13,-12.81,E
0.0,424.0,619.0,663.0,648.0,71.05,-14.09,E
0.0,192.0,643.0,653.0,645.0,71.4,-12.95,E
0.0,387.0,626.0,661.0,644.0,70.77,-12.33,E
0.0,401.0,627.0,667.0,653.0,71.69,-10.59,E
0.0,224.0,631.0,657.0,646.0,78.22,-7.84,E
238.0,484.0,614.0,654.0,632.0,77.65,-7.35,E
0.0,510.0,627.0,660.0,651.0,74.04,-11.29,E
0.0,240.0,93.0,0.0,155.0,22.05,-34.55,E
0.0,452.0,602.0,643.0,634.0,75.83,-9.71,E
0.0,420.0,626.0,664.0,646.0,72.92,-15.43,E
0.0,302.0,619.0,664.0,650.0,75.0,-11.07,E
207.0,498.0,626.0,664.0,645.0,74.48,-8.21,E
109.0,284.0,176.0,107.0,398.0,16.0,-35.23,E
198.0,334.0,619.0,662.0,641.0,71.78,-10.57,E
0.0,397.0,623.0,664.0,645.0,72.99,-9.52,E
