THUMB,INDEX,MIDDLE,HEART,PINKY,X,Y,LETTER,BUTTON
184.0,632.0,0.0,0.0,0.0,78.94,-8.79,O,0
171.0,631.0,0.0,0.0,0.0,69.42,-18.41,O,0
186.0,628.0,0.0,0.0,0.0,74.05,-13.93,O,0
407.0,622.0,0.0,0.0,0.0,73.13,-14.0,O,0
407.0,629.0,0.0,0.0,0.0,74.25,-14.41,O,0
391.0,645.0,0.0,0.0,0.0,84.87,4.63,O,0
656.0,665.0,64.0,0.0,0.0,86.41,2.58,O,0
623.0,669.0,0.0,4.0,0.0,88.4,-1.01,O,0
274.0,610.0,195.0,0.0,0.0,83.8,0.81,O,0
0.0,512.0,27.0,242.0,0.0,61.96,-8.62,O,0
0.0,0.0,0.0,0.0,0.0,64.1,-0.8,O,0
184.0,554.0,0.0,0.0,0.0,79.77,3.02,O,0
227.0,647.0,222.0,1.0,0.0,81.67,2.47,O,0
0.0,633.0,235.0,16.0,0.0,83.52,0.66,O,0
0.0,635.0,0.0,0.0,0.0,85.42,2.36,O,0
0.0,436.0,0.0,0.0,0.0,89.07,0.9,O,0
0.0,397.0,0.0,283.0,0.0,67.87,-12.06,O,0
0.0,626.0,1.0,0.0,0.0,86.34,-2.85,O,0
435.0,616.0,96.0,0.0,0.0,85.64,-0.89,O,0
468.0,584.0,0.0,0.0,0.0,85.2,-1.0,O,0
0.0,574.0,0.0,13.0,0.0,82.71,-4.19,O,0
0.0,638.0,0.0,0.0,0.0,87.65,0.22,O,0
495.0,640.0,59.0,0.0,0.0,81.15,-7.18,O,0
365.0,631.0,0.0,0.0,0.0,82.43,-6.71,O,0
0.0,493.0,0.0,186.0,0.0,69.5,-13.53,O,0
0.0,485.0,0.0,0.0,0.0,74.97,-14.73,O,0
0.0,539.0,25.0,0.0,0.0,78.85,-9.55,O,0
479.0,575.0,148.0,326.0,1.0,77.19,-7.6,O,0
621.0,635.0,420.0,0.0,0.0,75.79,-10.98,O,0
551.0,629.0,40.0,0.0,0.0,77.35,-10.53,O,0
0.0,597.0,0.0,0.0,0.0,78.04,-10.07,O,0
150.0,559.0,0.0,0.0,0.0,77.44,-8.42,O,0
275.0,579.0,0.0,258.0,0.0,76.35,-8.59,O,0
0.0,467.0,1.0,359.0,0.0,72.77,-13.96,O,0
394.0,607.0,0.0,0.0,0.0,80.37,-8.23,O,0
381.0,584.0,0.0,0.0,0.0,82.08,-4.16,O,0
56.0,479.0,0.0,342.0,0.0,60.32,-17.18,O,0
335.0,632.0,0.0,141.0,0.0,74.98,-14.94,O,0
0.0,469.0,0.0,0.0,0.0,69.9,-16.68,O,0
521.0,620.0,142.0,255.0,0.0,77.54,-10.22,O,0
0.0,0.0,153.0,0.0,0.0,80.5,-9.54,O,0
60.0,420.0,0.0,44.0,0.0,71.59,-13.07,O,0
0.0,34.0,0.0,0.0,0.0,77.95,-11.66,O,0
0.0,609.0,0.0,0.0,0.0,76.87,-10.23,O,0
394.0,643.0,0.0,0.0,0.0,81.48,-8.56,O,0
482.0,631.0,0.0,0.0,0.0,82.56,-7.48,O,0
0.0,170.0,0.0,211.0,0.0,64.23,-12.67,O,0
546.0,603.0,0.0,267.0,0.0,80.3,-9.51,O,0
591.0,642.0,128.0,0.0,0.0,79.92,-9.64,O,0
0.0,562.0,0.0,0.0,0.0,79.13,-10.77,O,0
0.0,479.0,0.0,0.0,0.0,78.86,-9.34,O,0
0.0,523.0,0.0,0.0,0.0,79.29,-9.68,O,0
393.0,619.0,0.0,0.0,0.0,80.36,-9.53,O,0
206.0,591.0,0.0,0.0,0.0,80.43,-7.58,O,0
454.0,622.0,0.0,0.0,0.0,78.23,-10.21,O,0
