THUMB,INDEX,MIDDLE,HEART,PINKY,X,Y,LETTER,BUTTON
505.0,0.0,645.0,673.0,663.0,74.01,-13.59,I,0
474.0,106.0,655.0,677.0,665.0,75.11,-10.52,I,0
431.0,136.0,655.0,677.0,676.0,73.92,-5.15,I,0
554.0,130.0,612.0,679.0,672.0,72.69,-4.73,I,0
524.0,0.0,654.0,677.0,665.0,70.35,-7.75,I,0
460.0,374.0,628.0,646.0,658.0,80.38,-8.32,I,0
481.0,340.0,611.0,641.0,652.0,79.81,-8.85,I,0
352.0,287.0,634.0,674.0,654.0,76.16,-9.91,I,0
366.0,297.0,644.0,668.0,646.0,78.25,-6.75,I,0
197.0,308.0,581.0,651.0,615.0,79.06,-10.93,I,0
583.0,329.0,571.0,643.0,638.0,81.67,-6.29,I,0
418.0,0.0,552.0,648.0,639.0,76.38,-13.63,I,0
472.0,0.0,548.0,645.0,637.0,79.62,-10.37,I,0
463.0,323.0,572.0,648.0,634.0,78.41,-11.56,I,0
449.0,322.0,566.0,647.0,635.0,76.79,-13.02,I,0
442.0,242.0,582.0,647.0,633.0,79.18,-10.85,I,0
375.0,0.0,564.0,670.0,648.0,80.4,-8.5,I,0
364.0,307.0,639.0,658.0,644.0,80.04,-8.85,I,0
0.0,0.0,449.0,588.0,584.0,73.27,-15.36,I,0
0.0,0.0,362.0,68.0,0.0,75.06,-14.74,I,0
0.0,0.0,506.0,0.0,0.0,71.66,-18.37,I,0
0.0,0.0,165.0,159.0,0.0,73.4,-16.64,I,0
0.0,0.0,19.0,0.0,482.0,59.36,-28.2,I,0
454.0,399.0,616.0,637.0,633.0,78.21,-11.41,I,0
586.0,287.0,571.0,667.0,626.0,73.96,-13.13,I,0
0.0,109.0,600.0,668.0,625.0,79.36,-10.49,I,0
572.0,0.0,576.0,665.0,633.0,71.25,-16.29,I,0
466.0,332.0,604.0,663.0,599.0,68.82,-18.54,I,0
384.0,296.0,556.0,662.0,635.0,66.15,-18.83,I,0
212.0,306.0,567.0,658.0,613.0,74.26,-11.99,I,0
367.0,278.0,624.0,659.0,595.0,66.76,-18.3,I,0
0.0,296.0,601.0,664.0,628.0,73.58,-11.84,I,0
137.0,368.0,628.0,619.0,575.0,75.01,-10.46,I,0
469.0,331.0,599.0,644.0,601.0,68.98,-15.25,I,0
232.0,295.0,598.0,632.0,591.0,72.5,-15.76,I,0
121.0,0.0,498.0,614.0,524.0,66.62,-19.6,I,0
0.0,0.0,0.0,0.0,0.0,63.28,-24.33,I,0
403.0,324.0,624.0,650.0,637.0,76.75,-11.93,I,0
406.0,316.0,624.0,660.0,617.0,76.14,-12.1,I,0
0.0,0.0,458.0,485.0,480.0,73.12,-15.09,I,0
449.0,254.0,519.0,635.0,608.0,68.62,-15.96,I,0
259.0,266.0,0.0,0.0,0.0,63.46,-21.25,I,0
125.0,0.0,386.0,0.0,0.0,67.21,-16.8,I,0
357.0,314.0,595.0,643.0,572.0,75.85,-9.62,I,0
